FID,Title,Keywords,Path
0001,《假如给我三天光明》读后感400字.txt,残疾人，学习，永不，看看，一天，光明，本书，十分，不断，成长史,D:\Fuzzy Keywords Search\样本文件集\《假如给我三天光明》读后感400字.txt
0002,《妞妞——一个父亲的札记》主要内容.txt,妞妞，周国平，雨儿，X光，父母，我们，本书，点点滴滴，开放，小花,D:\Fuzzy Keywords Search\样本文件集\《妞妞——一个父亲的札记》主要内容.txt
0003,《平凡的世界》读书心得.txt,人好，平凡，世界，生活，有着，雨漫，杨世奇，纯美，大有作为，落寞,D:\Fuzzy Keywords Search\样本文件集\《平凡的世界》读书心得.txt
0004,《平凡的世界》读后感.txt,平凡，生活，孙少平，协议工，矸石，舍己为人，多么，哥哥，黄土背，追求理想,D:\Fuzzy Keywords Search\样本文件集\《平凡的世界》读后感.txt
0005,《文化苦旅》读后感.txt,文化，余秋雨，部分，我们，文物，之旅，人性，背后，重要，苦旅,D:\Fuzzy Keywords Search\样本文件集\《文化苦旅》读后感.txt
0006,《格列佛游记》读后感.txt,格列佛，人类，游记，世界，野兽，讽刺，带来，这个，品读，理性,D:\Fuzzy Keywords Search\样本文件集\《格列佛游记》读后感.txt
0007,《绿山墙的安妮》读后感1000字.txt,安妮，瑞拉，黛安娜，山墙，马修，本书，考上，11，照顾，大学,D:\Fuzzy Keywords Search\样本文件集\《绿山墙的安妮》读后感1000字.txt
0008,《蛙》读后感400字.txt,超生，姑姑，计划生育，出生，权力，现实，国人，心灵，该书，只是,D:\Fuzzy Keywords Search\样本文件集\《蛙》读后感400字.txt
0009,《西游记》的读后感600字.txt,西游记，不畏艰险，四大名著，迎难而上，遇到困难，团结起来，猪八戒，取得胜利，孙悟空，电视剧,D:\Fuzzy Keywords Search\样本文件集\《西游记》的读后感600字.txt
0010,一个父亲的札记读后感.txt,妞妞，周国平，苦难，幸福，平凡，我们，动手术，选择，感悟，女儿,D:\Fuzzy Keywords Search\样本文件集\一个父亲的札记读后感.txt
0011,三国演义心得体会400字.txt,一条心，做人，刘备，故事，结义，桃园，疫情，书中，孔明，鲜明,D:\Fuzzy Keywords Search\样本文件集\三国演义心得体会400字.txt
0012,专业主义读后感.txt,能力，先见，研一，本书，思考，就是，构思，门户网站，华为，专家,D:\Fuzzy Keywords Search\样本文件集\专业主义读后感.txt
0013,中国医生观后感.txt,医者，雷锋精神，徐晔，医护人员，医生，他会，奉献，逆行，患者，冠状病毒,D:\Fuzzy Keywords Search\样本文件集\中国医生观后感.txt
0014,中国科学史读后感.txt,中医，认识，还是，扁鹊，我们，科学，西医，古人，历史，认同,D:\Fuzzy Keywords Search\样本文件集\中国科学史读后感.txt
0015,乌合之众读后感800字.txt,群体，勒庞，领头，乌合之众，思考，想法，余地，个体，非常，的确,D:\Fuzzy Keywords Search\样本文件集\乌合之众读后感800字.txt
0016,九色鹿读后感200字.txt,九色鹿，落水者，国王，悬赏，住处，捕捉，不顾，说出，承诺，故事,D:\Fuzzy Keywords Search\样本文件集\九色鹿读后感200字.txt
0017,乡土中国读书笔记1000字.txt,乡土，社会，差序，乡下人，我们，中国，可以，土气，人伦，本书,D:\Fuzzy Keywords Search\样本文件集\乡土中国读书笔记1000字.txt
0018,了不起的狐狸爸爸观后感.txt,狐狸，爸爸，狡猾，勇敢，一家人，弟弟，家人，电影，比恩，邦斯,D:\Fuzzy Keywords Search\样本文件集\了不起的狐狸爸爸观后感.txt
0019,了不起的狐狸爸爸读后感.txt,狐狸，鸡舍，先生，吉斯，智慧，爸爸，鼓励，场主，了不起，故事,D:\Fuzzy Keywords Search\样本文件集\了不起的狐狸爸爸读后感.txt
0020,了不起的狐狸爸爸读后感400字.txt,狐狸，书中，先生，我们，逮住，一直，一家，很多，人们，爸爸,D:\Fuzzy Keywords Search\样本文件集\了不起的狐狸爸爸读后感400字.txt
0021,人为什么活着读后感.txt,活着，稻盛和夫，名誉，真理，金钱，为什么，为了，问题，很多，追求,D:\Fuzzy Keywords Search\样本文件集\人为什么活着读后感.txt
0022,仓央嘉措诗传读后感.txt,仓央嘉，读完，权力，灵童，他本，凡人，不负，却是，本书，悲剧,D:\Fuzzy Keywords Search\样本文件集\仓央嘉措诗传读后感.txt
0023,会飞的教室读后感.txt,戴马亭，邬理，回家，禁烟，老师，本书，嘲笑，会飞，姚尼，同学,D:\Fuzzy Keywords Search\样本文件集\会飞的教室读后感.txt
0024,你当像鸟飞往你的山读书笔记.txt,塔拉，教育，再也，剑桥，应该，生命，不用，怎么，逃离，我们,D:\Fuzzy Keywords Search\样本文件集\你当像鸟飞往你的山读书笔记.txt
0025,催眠师手记读后感.txt,催眠，我们，高铭，梦境，心理，千手观音，自己，皮衣，知道，一个,D:\Fuzzy Keywords Search\样本文件集\催眠师手记读后感.txt
0026,共产党宣言读后感1500字.txt,无产阶级，社会主义，思想，资产阶级，马克思主义，历史，共产主义，宣言，剥削，发展,D:\Fuzzy Keywords Search\样本文件集\共产党宣言读后感1500字.txt
0027,变形记读书笔记.txt,臭虫，卡夫卡，主人公，变成，变形记，荒诞，自己，妹妹，前提，理解,D:\Fuzzy Keywords Search\样本文件集\变形记读书笔记.txt
0028,史记读后感1000字.txt,史记，实现目标，司马迁，国富兵强，以史为镜，我们，孔子，小事，学习，精神,D:\Fuzzy Keywords Search\样本文件集\史记读后感1000字.txt
0029,史铁生散文读后感.txt,史铁生，感想，好运，地坛，描写，之后，母亲，怀念，一文，设计,D:\Fuzzy Keywords Search\样本文件集\史铁生散文读后感.txt
0030,向前一步读后感.txt,女性，谢丽尔，职场，自己，人生，导师，一个，本书，完美，事业,D:\Fuzzy Keywords Search\样本文件集\向前一步读后感.txt
0031,吹小号的天鹅读后感.txt,天鹅，小号，路易斯，品格高尚，赞扬，吹号，本书，爸爸，它们，萨姆,D:\Fuzzy Keywords Search\样本文件集\吹小号的天鹅读后感.txt
0032,吹牛大王历险记读后感400字.txt,豪森，泥潭，困难，吹牛大王，机智，辫子，一次次，拯救，书中，有过,D:\Fuzzy Keywords Search\样本文件集\吹牛大王历险记读后感400字.txt
0033,命若琴弦读书笔记.txt,瞎子，无所谓，心弦，琴弦，也许，我们，哪儿，一前一后，人生，拉紧,D:\Fuzzy Keywords Search\样本文件集\命若琴弦读书笔记.txt
0034,命若琴弦读后感2000字.txt,史铁生，瞎子，琴弦，药方，生命，病隙，碎笔，大难，希望，活下去,D:\Fuzzy Keywords Search\样本文件集\命若琴弦读后感2000字.txt
0035,哈佛家训读书笔记.txt,故事，游泳，爬树，跑步，特长，学习，飞翔，擅长，本书，一本,D:\Fuzzy Keywords Search\样本文件集\哈佛家训读书笔记.txt
0036,哈佛家训读后感.txt,前排，快乐，伤害，自己，他们，时候，人生，我们，追求，无论,D:\Fuzzy Keywords Search\样本文件集\哈佛家训读后感.txt
0037,哈佛家训读后感1000字.txt,故事，南瓜，本书，哈佛，家训，面包，面包师，讲述，承受，感恩,D:\Fuzzy Keywords Search\样本文件集\哈佛家训读后感1000字.txt
0038,园丁与木匠读后感.txt,孩子，青春期，任务，父母，焦虑，家长，试错，如同，一举一动，教养,D:\Fuzzy Keywords Search\样本文件集\园丁与木匠读后感.txt
0039,围城读书笔记200字.txt,方鸿渐，围城，本书，博士学位，假文凭，抗打，真材实料，克莱登，20，李思炎,D:\Fuzzy Keywords Search\样本文件集\围城读书笔记200字.txt
0040,大禹治水三过家门而不入.txt,大禹，共工，治理，回家，洪水，从家，虞舜，水患，自己，父亲,D:\Fuzzy Keywords Search\样本文件集\大禹治水三过家门而不入.txt
0041,大禹治水文言文.txt,大禹治水，水患，因势利导，九州，疏通，任用，九年，治理，许多，禹治理,D:\Fuzzy Keywords Search\样本文件集\大禹治水文言文.txt
0042,大禹治水的故事.txt,治水，大禹，洪水，徒众，大家，水灾，进去，大山，一次，首领,D:\Fuzzy Keywords Search\样本文件集\大禹治水的故事.txt
0043,大禹治水读后感.txt,大禹治水，神话故事，父辈，配有，洪水，流传，我们，总结，尧帝，打卡,D:\Fuzzy Keywords Search\样本文件集\大禹治水读后感.txt
0044,大禹治水读后感200字.txt,共工，洪水，应龙，制伏，人间，人们，讨打，13，为傲，阿娇,D:\Fuzzy Keywords Search\样本文件集\大禹治水读后感200字.txt
0045,威尼斯商人读后感.txt,正义，安东尼奥，借钱，觉得，老爷爷，割肉，养分，一样，必不可少，威尼斯,D:\Fuzzy Keywords Search\样本文件集\威尼斯商人读后感.txt
0046,威尼斯商人读后感800字.txt,夏洛克，安东尼奥，尼奥，巴萨，一个，鲍西雅，商人，选择，莎士比亚，反犹太,D:\Fuzzy Keywords Search\样本文件集\威尼斯商人读后感800字.txt
0047,定位读后感4000字.txt,定位，心智，自己，消费者，品牌，红塔，高露洁，成功，提到，七喜,D:\Fuzzy Keywords Search\样本文件集\定位读后感4000字.txt
0048,小王子读书笔记.txt,小王子，狐狸，玫瑰，孤独，责任，脚步声，美丽，我们，一起，驯养,D:\Fuzzy Keywords Search\样本文件集\小王子读书笔记.txt
0049,小说平凡的世界读后感500字.txt,兰香，平凡，路遥，柴火，懂事，好吃，孩子，十分，知难而进，世界,D:\Fuzzy Keywords Search\样本文件集\小说平凡的世界读后感500字.txt
0050,少年的你观后感1000字.txt,陈念，少年，身后，谐音，电影，校园，高考，罪恶感，千玺，完后,D:\Fuzzy Keywords Search\样本文件集\少年的你观后感1000字.txt
0051,平凡的世界读书笔记600字.txt,平凡，生活，痛苦，奋斗，苦难，书中，梦想，世界，孙氏，读书,D:\Fuzzy Keywords Search\样本文件集\平凡的世界读书笔记600字.txt
0052,彼得潘读后感.txt,长大，无忧，快乐，彼得，孩子，世界，地飞，小飞侠，烦恼，童话故事,D:\Fuzzy Keywords Search\样本文件集\彼得潘读后感.txt
0053,悲惨世界简介.txt,阿让，雨果，冉阿让，赛特，马吕斯，法国，沙威，革命，道德哲学，维克多,D:\Fuzzy Keywords Search\样本文件集\悲惨世界简介.txt
0054,悲惨世界观后感.txt,刻骨，台词，自己，剧中，放过，一些，不满，遇到，大概，爱同,D:\Fuzzy Keywords Search\样本文件集\悲惨世界观后感.txt
0055,悲惨世界读后感.txt,芳汀，黑暗，悲哀，面包，自己，生命，雨果，老板，冉阿让，一生,D:\Fuzzy Keywords Search\样本文件集\悲惨世界读后感.txt
0056,悲惨世界读后感1000字.txt,阿让，冉阿让，沙威，警探，主教，雨果，宽恕，善良，悲惨，利埃,D:\Fuzzy Keywords Search\样本文件集\悲惨世界读后感1000字.txt
0057,悲惨世界读后感500字.txt,冉阿让，沙威，马吕斯，主教，19，警察，偷窃，生命，魔鬼，史诗,D:\Fuzzy Keywords Search\样本文件集\悲惨世界读后感500字.txt
0058,悲惨世界赏析.txt,冉阿让，悲惨世界，雨果，自己，反派，罪犯，欺骗，正义，沙威，光明,D:\Fuzzy Keywords Search\样本文件集\悲惨世界赏析.txt
0059,教师读书笔记：做最好的自己.txt,最好，团队，合作，成功，沟通，章节，李开复，秘诀，平凡，自己,D:\Fuzzy Keywords Search\样本文件集\教师读书笔记：做最好的自己.txt
0060,斑羚飞渡读后感600字.txt,斑羚，生命，向日葵，草坪，枯萎，那片，花洒，咯噔，死亡，那一刻,D:\Fuzzy Keywords Search\样本文件集\斑羚飞渡读后感600字.txt
0061,明朝那些事儿读书笔记600字.txt,明月，明朝，朱元璋，史书，本书，那些，建明，秋月春风，事儿，付笑谈,D:\Fuzzy Keywords Search\样本文件集\明朝那些事儿读书笔记600字.txt
0062,曼德拉传读后感.txt,曼德拉，老公，情绪，苦难，27，自由，怨恨，一个，儿子，黑人,D:\Fuzzy Keywords Search\样本文件集\曼德拉传读后感.txt
0063,月亮与六便士读后感.txt,斯特里，兰德，之美，艺术，天才，善良，本书，伤害，一个，评价,D:\Fuzzy Keywords Search\样本文件集\月亮与六便士读后感.txt
0064,月亮与六便士读后感2000字.txt,斯特里，克兰，月亮，六便士，绘画，梦想，小说，故事，束缚，厄运,D:\Fuzzy Keywords Search\样本文件集\月亮与六便士读后感2000字.txt
0065,杀死一只知更鸟读后感600字.txt,拉德利，库特，迪克斯，汤姆，小镇，知更鸟，杰姆，他们，厄尔，一位,D:\Fuzzy Keywords Search\样本文件集\杀死一只知更鸟读后感600字.txt
0066,格列佛游记读后感400字.txt,格列佛，国王，大开眼界，宫殿，故事，大臣，我读，悠闲自在，奈格，里会,D:\Fuzzy Keywords Search\样本文件集\格列佛游记读后感400字.txt
0067,格列佛游记读后感600字.txt,格列佛，国王，英国，小人国，讽刺，利立，拉格，普特，大人，游记,D:\Fuzzy Keywords Search\样本文件集\格列佛游记读后感600字.txt
0068,棋王读后感1000字.txt,棋王，阿城，传奇，孩子王，小说，目光，情境，树王，语言，故事,D:\Fuzzy Keywords Search\样本文件集\棋王读后感1000字.txt
0069,欧也妮葛朗台读书笔记.txt,葛朗台，夏尔，印度，故事，欧也妮，十字架，法国，巴尔扎克，一个，感情,D:\Fuzzy Keywords Search\样本文件集\欧也妮葛朗台读书笔记.txt
0070,正面管教读书心得体会.txt,学生，本书，沟通，孩子，教育，教室，老师，和善，管教，行为,D:\Fuzzy Keywords Search\样本文件集\正面管教读书心得体会.txt
0071,水浒传景阳冈读后感.txt,老虎，武松，店主，景阳冈，描写，上冈，冈上，招式，勇敢，精神,D:\Fuzzy Keywords Search\样本文件集\水浒传景阳冈读后感.txt
